view,country,x,textArray,arrowDirection,arrowPath1,arrowPath2,arrowPath3,textOffsetX,textOffsetY,textAnchor,xUnformatted,manualTextSplit,textLines
0,Spain,2022-Dec-06 17:12:14.000,Spain's odds kept falling as their last 16|contest with Morocco headed for penalties,sw,20,20,0,0,-8,start,Tue Dec 06 2022 17:12:14 GMT+0000 (Greenwich Mean Time),T,
0,Switzerland,2022-Dec-06 18:57:46.000,"Switzerland's odds jumped following Spain's| elimination,since Morocco were viewed|as an easier potential quarter-final match up",se,15,0,-30,0,0,middle,Tue Dec 06 2022 18:57:46 GMT+0000 (Greenwich Mean Time),T,
0,Switzerland,2022-Dec-02 20:24:32.000,"Switzerland needed a draw in their final group game| to reach the knockout stages, and were trailing until|goals either side of half-time gave them the lead",se,20,-40,0,0,-6,end,Fri Dec 02 2022 20:24:32 GMT+0000 (Greenwich Mean Time),T,
0,Tunisia,2022-Nov-30 16:50:31.000,"Tunisia did not score a goal in the World Cup|until the 58th minute of their 3rd game,|but that goal meant that if Denmark|equalised against Australia, Tunisia|would have qualified for the knockout stage",se,20,0,-25,0,0,middle,Wed Nov 30 2022 16:50:31 GMT+0000 (Greenwich Mean Time),T,
0,Tunisia,2022-Nov-21 21:07:37.000,"Group D was viewed as one of the least|competitve groups, with both Tunisia|and Australia among the teams with the|lowest chances of winning the World Cup",s,20,0,-8,-30,0,start,Mon Nov 21 2022 21:07:37 GMT+0000 (Greenwich Mean Time),T,
0,Uruguay,2022-Nov-24 20:41:08.000,"Uruguay's title odds fell following their|opening game, as bookmakers reflected|on their unconvincing performance",sw,20,0,-70,0,0,middle,Thu Nov 24 2022 20:41:08 GMT+0000 (Greenwich Mean Time),T,
0,Uruguay,2022-Dec-02 15:39:36.000,"Assuming South Korea failed to defeat|Portugal, Uruguay simply needed to beat|Ghana to reach the knockout stages. With Portugal|taking an early lead and de Arrascaeta giving|Uruguay a two goal advantage, prospects were|looking good for the South American side",s,2,0,-12,0,0,middle,Fri Dec 02 2022 15:39:36 GMT+0000 (Greenwich Mean Time),T,
0,Uruguay,2022-Dec-02 16:55:47.000,"But with minutes left South Korea took the lead against Portugal,|meaning Uruguay needed one more goal to progress on goal|difference. With some of their best attacking players already|substituted, Uruguay could not find that crucial 3rd goal",w,10,3,0,0,-11,start,Fri Dec 02 2022 16:55:47 GMT+0000 (Greenwich Mean Time),T,
0,USA,2022-Nov-21 20:40:33.000,The USA's title odds fell after they conceded|an equaliser to Wales in their opening game,s,10,0,-5,0,0,middle,Mon Nov 21 2022 20:40:33 GMT+0000 (Greenwich Mean Time),T,
0,USA,2022-Dec-03 15:06:47.000,USA's odds peaked just above 1%|prior to their last 16 match up,s,10,25,0,0,-6,start,Sat Dec 03 2022 15:06:47 GMT+0000 (Greenwich Mean Time),T,
0,Wales,2022-Nov-29 19:00:02.000,"Wales were on the brink of elimination going into their|final group game - they needed to defeat England|by seven goals or, more realistically, beat England|and rely on a draw between the USA and Iran",s,10,0,-12,0,0,middle,Tue Nov 29 2022 19:00:02 GMT+0000 (Greenwich Mean Time),T,
